opportunity,type,status,priority,difficulty,link_target,ask_type,why_it_matters
Bodas.net,Wedding directory,Existing,P1,Low,Homepage,"Strengthen profile, reviews, images, FAQ, quote flow","One of the strongest wedding-specific trust sources in Spain"
Leadslend,Directory,Existing,P1,Low,Homepage,"Keep profile updated and linked correctly","Relevant weddings/events citation already live"
Espectaculus,Directory,Existing,P1,Low,Homepage,"Keep profile updated and linked correctly","Exact-profile citation with strong category match"
Musiqua,Music / booking directory,Existing,P1,Low,Homepage,"Maintain profile + reviews","Strong trust because of visible reviews and pricing"
Encore Musicians,English directory,Existing,P1,Low,"English homepage or matching English city page","Maintain profile + verified reviews","High-value international trust signal"
La Factoría del Show,Directory,Existing,P2,Low,Homepage,"Keep profile updated","Useful local/events citation"
Eventos Celebria,Directory,Existing,P2,Medium,Homepage,"Confirm profile and link","Another relevant event citation"
Zankyou Spain,Wedding directory,Not confirmed,P1,Medium,"Homepage + selected city pages in profile text","Create or optimize supplier profile","Strong wedding/entity signal and potential referral traffic"
Matrimonio.com / WeddingWire,Wedding directory,Not confirmed,P1,Medium,Homepage,"Create or optimize supplier profile","Relevant wedding-specific authority if active in your market"
Wedding venue supplier pages,Partner backlink source,Not inventoried,P1,Medium,"Homepage or matching city page","Supplier recommendation page or real wedding feature","Highly relevant local wedding backlinks"
Wedding planner supplier pages,Partner backlink source,Not inventoried,P1,Medium,"English homepage, Spanish homepage, or matching city page","Supplier recommendation page or real wedding feature","High-value destination wedding and wedding ecosystem links"
Photographer / DJ / videographer credits,Partner backlink source,Not inventoried,P2,Medium,"Homepage or matching city page","Recommended supplier mention or real wedding credit","Natural wedding ecosystem links"
Murcia / Mazarrón local business directories,Local citation,Not inventoried,P1,Medium,Homepage,"Business listing","Supports local/entity trust around base locality"
Alicante regional directories,Local citation,Not inventoried,P2,Medium,"Alicante page or homepage","Business listing","Useful where service activity is real"
Málaga / Mallorca / Barcelona regional directories,Local citation,Not inventoried,P2,Medium,"Matching city page","Business listing","Good secondary local reinforcement"
Destination wedding planner blogs / partner pages,Content-led partner source,Not inventoried,P2,High,"English homepage or matching English city page","Expert quote, supplier feature, or real wedding recap","Strong international trust and destination-wedding relevance"
