source,type,url,status,priority,name_match,website_present,phone_present,email_present,locality_or_area_present,reviews_present,language_audience,needs_fixing,owner_data_needed
Website,Owned asset,https://benitogonzalezsax.com/,Confirmed,P1,Yes,Yes,Yes,Yes,Yes,Yes,ES + EN,"Keep as source of truth; review later if more sameAs links are added",No
Google Business Profile,Local business profile,Pending owner verification,Pending,P1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ES / local + maps,"Confirm exact public URL, categories, services, service areas, photos, reviews, appointment/contact links",Yes
Instagram,Social profile,https://www.instagram.com/benitogonzalezsax/,Confirmed,P1,Likely yes,To verify,To verify,To verify,To verify,N/A,ES + EN / social,"Audit bio, link-in-bio, contact options, category, pinned content, and brand wording",Partial
YouTube,Social / video platform,https://www.youtube.com/@benitogonzalezsax/featured,Confirmed,P1,Likely yes,To verify,To verify,To verify,To verify,N/A,ES + EN / video + search,"Audit channel description, links, playlists, about section, and wedding/events wording",Partial
Facebook,Social profile,https://www.facebook.com/people/Benito-Gonz%C3%A1lez/pfbid02aQaaHf2vJntMAxebPSyQL7Z5KsXh1BGABeSava492qYXhP2frwCm61iDiRY7FfKCl/,Confirmed,P2,Likely yes,To verify,To verify,To verify,To verify,Possible,ES / social,"Audit profile naming, about text, website, and contact details",Partial
TikTok,Social profile,Pending confirmation,Pending,P2,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,ES + EN / social,"Confirm whether account exists and is controlled; then audit bio and link",Yes
Leadslend,Directory,https://www.leadslend.com/musica-y-djs/saxofonista-para-bodas-y-eventos,Confirmed,P1,Broad match,To verify,To verify,To verify,To verify,To verify,ES / wedding + events,"Check business naming, website link, phone/email visibility, service wording, and any old claims",Partial
Artistealo,Directory,https://artistealo.com/catalogo/musica-en-vivo/saxofonista/,Confirmed,P1,Broad match,To verify,To verify,To verify,To verify,To verify,ES / events,"Confirm exact controlled listing URL and standardize copy and links",Partial
Espectaculus,Directory,https://espectaculus.es/profesional/benito-gonzalez-sax,Confirmed,P1,Yes,To verify,To verify,To verify,To verify,To verify,ES / events,"Review for NAP consistency, services, and any outdated performance claims",Partial
Musiqua,Directory,https://www.musiqua.es/band/saxo-show-para-eventos-26210,Confirmed,P1,Partial,To verify,To verify,To verify,To verify,To verify,ES / music booking,"Check years, event count, pricing ranges, service areas, and website/contact links",Partial
Encore Musicians,Directory,https://encoremusicians.com/benitogonzalezsax,Confirmed,P1,Yes,To verify,To verify,To verify,To verify,To verify,EN / international,"Align with English positioning: weddings, events, destination weddings in Spain, booking from abroad",Partial
La Factoría del Show,Directory / category page,https://www.lafactoriadelshow.com/saxofonistas/murcia/,Confirmed,P2,Category mention,Possibly no,Possibly no,Possibly no,Murcia mention,Unknown,ES / local entertainment,"Useful citation; confirm whether it can be upgraded into a stronger individual profile or backlink",Yes
Bodas.net / WeddingWire,Wedding directory,Not yet confirmed,Pending,P1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ES / weddings,"Confirm whether profile exists; if yes, audit and optimize; if no, decide whether to create later",Yes
Matrimonio.com,Wedding directory,Not yet confirmed,Pending,P1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ES / weddings,"Confirm whether profile exists",Yes
Zankyou,Wedding directory,Not yet confirmed,Pending,P1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ES + EN / weddings,"Confirm whether profile exists",Yes
Venue partner pages,Partner backlink source,Not yet inventoried,Pending,P1,N/A,N/A,N/A,N/A,N/A,N/A,ES + EN,"Build a list of real venues that can mention or link Benito",Yes
Wedding planner partner pages,Partner backlink source,Not yet inventoried,Pending,P1,N/A,N/A,N/A,N/A,N/A,N/A,ES + EN,"Build a list of planners who can add supplier mentions or backlinks",Yes
Photographer / DJ partner pages,Partner backlink source,Not yet inventoried,Pending,P2,N/A,N/A,N/A,N/A,N/A,N/A,ES + EN,"Good collaborative backlink targets after venues/planners",Yes
Google Search Console links export,Backlink evidence,Owner export,Pending,P1,N/A,N/A,N/A,N/A,N/A,N/A,Internal audit source,"Needed to distinguish real backlinks from simple brand mentions",Yes
